Layer Name,EPSG,x_min,y_min,x_max,y_max
govmap:layer_accessibleballotboxes,3857,34.3273449120809,29.5443607292938,35.8385120204861,33.2771466739299
govmap:layer_accid_muni,3857,34.2674205836375,29.4877578831595,35.8953835619697,33.335148102238
govmap:layer_accid_taz,3857,34.2675866682628,29.4902607112164,35.8954487863479,33.3342299445321
govmap:layer_accidents,3857,34.3044199451324,29.4921928460603,35.8430914929834,33.2900522777965
govmap:layer_accidents2016,3857,34.3108407052561,29.5443223046522,35.8248333000968,33.287382672363
govmap:layer_accidents2017,3857,34.329779962698,29.5247596306446,35.8492432692159,33.2830104822285
govmap:layer_add_3d_images,3857,33.8099758037638,27.0215002011801,36.3062664775854,35.4512772873235
govmap:layer_add_bakashot_appointment_map,3857,34.5086126163532,29.4868531401013,35.7616113597878,33.2604466313736
govmap:layer_add_bakashot_appointment_map_extension,3857,34.5803378326595,31.2345596127347,35.6943808530329,33.2074209198306
govmap:layer_add_bakashot_minister_decision,3857,34.6278548391352,29.6918253914815,35.5202319830697,33.0369694644577
govmap:layer_add_bakashot_no_warrant,3857,34.8457676013692,31.9793473677697,35.3591524925028,32.9482698594446
govmap:layer_add_bakashot_published,3857,34.5370159509932,29.4874024969749,35.7616113597878,33.2604466313736
govmap:layer_add_control_points,3857,33.0178446331445,26.6091301580663,37.1388015983646,36.2142287446472
govmap:layer_add_maritime_bounds_isr_cyp,3857,32.2767445897246,32.3222248554424,34.5899283952197,34.211113664289
govmap:layer_add_maritime_bounds_isr_north,3857,32.7650612670378,32.766877073312,36.107661819493,33.8583143608842
govmap:layer_add_parcel_3d,3857,35.1814546953865,31.7658237475634,35.1941923591197,31.779385562936
govmap:layer_add_parcel_3d_areas,3857,35.1810555770697,31.7658108745748,35.1944058831035,31.7794144671057
govmap:layer_add_projects_ur_muchraz,3857,34.5822907329815,29.5618638680951,35.2421498290881,33.0083463950121
govmap:layer_add_rain_area_planning_prod,3857,34.2674762265048,29.4877578822597,35.895383576039,33.3352377073568
govmap:layer_add_shituf_peola_ezori_line,3857,34.9765029985945,29.5329769647441,35.5598831192679,31.304310020805
govmap:layer_add_shituf_peola_ezori_point,3857,31.5304279484662,25.5529645509848,37.3976810438601,38.6828280312697
govmap:layer_add_shituf_peola_ezori_polygon,3857,35.5224913967423,32.4101031997066,35.5722579579718,32.4341954619131
govmap:layer_add_shomrei_haderech_prod,3857,33.3762967380484,26.6626846799944,36.8579578281599,36.111424668384
govmap:layer_addictcareclinics,3857,34.0508307388908,30.0745614642169,36.1779236317955,33.9788847176914
govmap:layer_additional_arrest_mahoz,3857,34.2670269229874,29.4926344051196,35.8953835619767,33.3351480519192
govmap:layer_additional_arrest_stations,3857,33.6912251522599,26.816579002904,36.5643395798738,35.9539030699747
